"governmental_entity","service_classification","ratetype","period","production_demand_price_kw","production_energy_price_mills_kwh","production_on_peak_energy_price_mills_kwh","production_offpeak_energy_price_mills_kwh","data_as_of"
"ST - 160","SC 62 - General Small","Conventional","Summer",,"91.52",,,"2026-04-30T00:00:00.000"
"ST - 150","SC 62 - General Small","Conventional","Summer",,"87.43",,,"2026-04-30T00:00:00.000"
"ST - 130","SC 62 - General Small","Conventional","Summer",,"87.63",,,"2026-04-30T00:00:00.000"
"ST - 200","SC 62 - General Small","Conventional","Summer",,"68.92",,,"2026-04-30T00:00:00.000"
"ST - 140","SC 62 - General Small","Conventional","Summer",,"85.63",,,"2026-04-30T00:00:00.000"
"ST - 110","SC 62 - General Small","Conventional","Summer",,"86.65",,,"2026-04-30T00:00:00.000"
"ST - 120","SC 62 - General Small","Conventional","Summer",,"88.01",,,"2026-04-30T00:00:00.000"
"ST - 120","SC 62 - General Small","Conventional","Winter",,"83.19",,,"2026-04-30T00:00:00.000"
"ST - 160","SC 62 - General Small","Conventional","Winter",,"86.7",,,"2026-04-30T00:00:00.000"
"ST - 150","SC 62 - General Small","Conventional","Winter",,"82.61",,,"2026-04-30T00:00:00.000"
"ST - 130","SC 62 - General Small","Conventional","Winter",,"82.81",,,"2026-04-30T00:00:00.000"
"ST - 200","SC 62 - General Small","Conventional","Winter",,"64.08",,,"2026-04-30T00:00:00.000"
"ST - 140","SC 62 - General Small","Conventional","Winter",,"80.81",,,"2026-04-30T00:00:00.000"
"ST - 110","SC 62 - General Small","Conventional","Winter",,"81.83",,,"2026-04-30T00:00:00.000"
"ST - 150","SC 65 - Electric Traction Systems and Platform Lighting","Conventional","Summer","9.05","68.25",,,"2026-04-30T00:00:00.000"
"ST - 130","SC 65 - Electric Traction Systems and Platform Lighting","Conventional","Summer","7.62","72.42",,,"2026-04-30T00:00:00.000"
"ST - 150","SC 65 - Electric Traction Systems and Platform Lighting","Conventional","Winter","9.05","63.47",,,"2026-04-30T00:00:00.000"
"ST - 130","SC 65 - Electric Traction Systems and Platform Lighting","Conventional","Winter","7.62","67.65",,,"2026-04-30T00:00:00.000"
"ST - 200","SC 66 - NYC Public Street Lighting (Except for service provided under SC 80)","Conventional","Summer",,"60.17",,,"2026-04-30T00:00:00.000"
"ST - 160","SC 66 - NYC Public Street Lighting (Except for service provided under SC 80)","Conventional","Summer",,"79.36",,,"2026-04-30T00:00:00.000"
