"year","nypa_facility_name","net_generation_mwh"
"2023","500 MW","3410000"
"2023","BLENHEIM-GILBOA","300000"
"2023","NIAGARA","15470000"
"2023","RICHARD M. FLYNN","400000"
"2023","SMALL CLEAN POWER PLANTS","490000"
"2023","SMALL HYDRO FACILITIES","160000"
"2023","ST. LAWRENCE","7130000"
"2022","500 MW","2600000"
"2022","BLENHEIM-GILBOA","440000"
"2022","NIAGARA","15210000"
"2022","RICHARD M. FLYNN","670000"
"2022","SMALL CLEAN POWER PLANTS","680000"
"2022","SMALL HYDRO FACILITIES","140000"
"2022","ST. LAWRENCE","7300000"
"2021","500 MW","2770000"
"2021","BLENHEIM-GILBOA","300000"
"2021","NIAGARA","16200000"
"2021","RICHARD M. FLYNN","130000"
"2021","SMALL CLEAN POWER PLANTS","470000"
"2021","SMALL HYDRO FACILITIES","170000"
